"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"46509","19-8-21-12-18-89","nic","nic",NA
"46514","19-8-21-12-24-95","nic","nic",NA
"46568","23-8-15-14-35-3","nic","nic",NA
"46583","23-8-15-14-48-L2","nic","nic",NA
"46671","23-8-15-16-45-72","nic","nic",NA
"46690","23-8-15-17-4-84","nic","nic",NA
"46696","23-8-15-17-8-89","nic","nic",NA
"46704","23-8-15-17-16-95","nic","nic",NA
"46705","23-8-15-17-19-L6","nic","nic",NA
"46708","23-8-15-17-21-L10","nic","nic",NA
"46727","19-8-21-15-9-57","nic","nic",NA
"46747","24-8-17-17-39-80","nic","nic",NA
"46769","19-8-21-15-33-70","nic","nic",NA
"46778","24-8-17-18-35-L3","nic","nic",NA
"46782","24-8-17-18-38-L7","nic","nic",NA
"46785","23-8-16-10-4-83","nic","nic",NA
"46810","23-8-16-10-43-6","nic","nic",NA
"46816","19-8-21-17-0-1","nic","nic",NA
"46822","22-8-17-10-56-28","nic","nic",NA
"46823","22-8-17-10-57-29","nic","nic",NA
"46829","23-8-16-10-57-15","nic","nic",NA
"46835","22-8-17-11-16-39","nic","nic",NA
"46856","22-8-17-13-22-52","nic","nic",NA
"46865","19-8-21-17-29-16","nic","nic",NA
"46873","23-8-20-7-45-64","nic","nic",NA
"46881","23-8-16-14-5-88","nic","nic",NA
"46912","19-8-17-16-4-L8","nic","nic",NA
"46952","19-8-21-18-44-76","nic","nic",NA
"46973","19-8-22-7-11-50","nic","nic",NA
"46976","19-8-22-7-13-53","nic","nic",NA
"46978","19-8-22-7-14-54","nic","nic",NA
"46994","19-8-22-7-40-L7","nic","nic",NA
"47001","22-8-17-16-30-20","nic","nic",NA
"47005","19-8-22-8-13-68","nic","nic",NA
"47006","19-8-22-8-15-69","nic","nic",NA
"47017","23-8-20-12-52-51","nic","nic",NA
"47022","19-8-21-12-36-19","nic","nic",NA
"47038","19-8-21-12-50-28","nic","nic",NA
"47067","22-8-18-8-2-17","nic","nic",NA
"47074","19-8-22-10-4-7","nic","nic",NA
"47089","23-8-17-9-48-32","nic","nic",NA
"47090","23-8-17-9-50-34","nic","nic",NA
"47094","23-8-17-9-53-38","nic","nic",NA
"47097","19-8-22-10-19-16","nic","nic",NA
"47107","23-8-17-11-10-47","nic","nic",NA
"47113","19-8-22-10-54-32","nic","nic",NA
"47116","22-8-18-8-49-53","nic","nic",NA
"47117","22-8-18-8-50-54","nic","nic",NA
"47129","22-8-18-8-58-60","nic","nic",NA
"47131","24-8-18-16-25-74","nic","nic",NA
"47139","19-8-22-11-34-46","nic","nic",NA
"47145","19-8-22-11-39-50","nic","nic",NA
"47205","23-8-17-13-36-L6","nic","nic",NA
"47223","22-8-18-10-35-71","nic","nic",NA
"47258","23-8-17-14-35-71","nic","nic",NA
"47284","23-8-20-9-1-L10","nic","nic",NA
"47289","23-8-15-12-57-98","nic","nic",NA
"47294","23-8-14-16-43-94","nic","nic",NA
"47301","23-8-17-15-43-49","nic","nic",NA
"47321","23-8-17-16-45-8","nic","nic",NA
"47322","22-8-18-13-38-23","nic","nic",NA
"47323","22-8-18-13-40-24","nic","nic",NA
"47327","22-8-18-17-10-65","nic","nic",NA
"47335","19-8-21-17-54-89","nic","nic",NA
"47362","22-8-18-17-41-87","nic","nic",NA
"47364","22-8-18-17-42-88","nic","nic",NA
"47365","23-8-18-13-50-13","nic","nic",NA
"47367","24-8-16-23-3-2","nic","nic",NA
"47384","24-8-16-23-23-11","nic","nic",NA
"47385","22-8-19-8-9-68","nic","nic",NA
"47396","23-8-18-14-23-32","nic","nic",NA
"47402","23-8-18-14-36-38","nic","nic",NA
"47410","23-8-18-14-44-45","nic","nic",NA
"47412","24-8-17-0-37-45","nic","nic",NA
"47425","23-8-18-16-9-L1","nic","nic",NA
"47432","23-8-18-16-20-L10","nic","nic",NA
"47435","23-8-18-16-21-L4","nic","nic",NA
"47448","24-8-17-6-59-25","nic","nic",NA
"47449","19-8-22-10-46-93","nic","nic",NA
"47455","19-8-18-17-37-89","nic","nic",NA
"47461","23-8-18-16-53-15","nic","nic",NA
"47463","24-8-17-7-24-41","nic","nic",NA
"47507","22-8-19-11-45-18","nic","nic",NA
"47532","19-8-22-17-20-L7","nic","nic",NA
"47541","23-8-18-18-25-85","nic","nic",NA
"47542","23-8-18-18-29-86","nic","nic",NA
"47545","19-8-21-9-58-68","nic","nic",NA
"47547","19-8-17-8-8-25","nic","nic",NA
"47559","23-8-15-11-5-27","nic","nic",NA
"47565","23-8-18-19-12-25","nic","nic",NA
"47566","23-8-15-11-12-35","nic","nic",NA
"47567","23-8-15-11-15-37","nic","nic",NA
